company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
116,Angel One Limited,ANGELONE,NSE,EQ,SUCCESS,2025-12-02T20:29:53.468236+00:00
117,Anik Industries Limited,ANIKINDS,NSE,EQ,SUCCESS,2025-12-02T20:29:54.381593+00:00
118,Ankit Metal & Power Limited,ANKITMETAL,NSE,EQ,SUCCESS,2025-12-02T20:29:55.247741+00:00
119,Anmol India Limited,ANMOL,NSE,EQ,SUCCESS,2025-12-02T20:29:56.116660+00:00
120,Ansal Properties & Infrastructure Limited,ANSALAPI,NSE,EQ,SUCCESS,2025-12-02T20:29:56.928571+00:00
121,Antarctica Limited,ANTGRAPHIC,NSE,EQ,SUCCESS,2025-12-02T20:30:48.505322+00:00
122,Anuh Pharma Limited,ANUHPHR,NSE,EQ,SUCCESS,2025-12-02T20:30:49.714578+00:00
123,The Anup Engineering Limited,ANUP,NSE,EQ,SUCCESS,2025-12-02T20:30:50.834996+00:00
124,Anupam Rasayan India Limited,ANURAS,NSE,EQ,SUCCESS,2025-12-02T20:30:52.271778+00:00
125,Apar Industries Limited,APARINDS,NSE,EQ,SUCCESS,2025-12-02T20:30:53.067245+00:00
126,Anjani Portland Cement Limited,APCL,NSE,EQ,SUCCESS,2025-12-02T20:30:53.951302+00:00
127,Apcotex Industries Limited,APCOTEXIND,NSE,EQ,SUCCESS,2025-12-02T20:30:54.958931+00:00
128,Apex Frozen Foods Limited,APEX,NSE,EQ,SUCCESS,2025-12-02T20:30:55.820514+00:00
129,APL Apollo Tubes Limited,APLAPOLLO,NSE,EQ,SUCCESS,2025-12-02T20:30:56.626389+00:00
130,Alembic Pharmaceuticals Limited,APLLTD,NSE,EQ,SUCCESS,2025-12-02T20:30:57.380334+00:00
131,Apollo Micro Systems Limited,APOLLO,NSE,EQ,SUCCESS,2025-12-02T20:31:48.586025+00:00
132,Apollo Hospitals Enterprise Limited,APOLLOHOSP,NSE,EQ,SUCCESS,2025-12-02T20:31:49.631226+00:00
133,Apollo Pipes Limited,APOLLOPIPE,NSE,EQ,SUCCESS,2025-12-02T20:31:50.556265+00:00
134,Apollo Tyres Limited,APOLLOTYRE,NSE,EQ,SUCCESS,2025-12-02T20:31:51.349128+00:00
135,Apollo Sindoori Hotels Limited,APOLSINHOT,NSE,EQ,SUCCESS,2025-12-02T20:31:52.118339+00:00
136,Aptech Limited,APTECHT,NSE,EQ,SUCCESS,2025-12-02T20:31:52.910865+00:00
137,Aptus Value Housing Finance India Limited,APTUS,NSE,EQ,SUCCESS,2025-12-02T20:31:53.716744+00:00
138,Archidply Industries Limited,ARCHIDPLY,NSE,EQ,SUCCESS,2025-12-02T20:31:54.600468+00:00
139,Archies Limited,ARCHIES,NSE,EQ,SUCCESS,2025-12-02T20:31:55.470247+00:00
140,Amara Raja Energy & Mobility Limited,ARE&M,NSE,EQ,SUCCESS,2025-12-02T20:31:56.259948+00:00
141,Rajdarshan Industries Limited,ARENTERP,NSE,EQ,SUCCESS,2025-12-02T20:32:48.714813+00:00
142,Aries Agro Limited,ARIES,NSE,EQ,SUCCESS,2025-12-02T20:32:49.550877+00:00
143,Arihant Capital Markets Limited,ARIHANTCAP,NSE,EQ,SUCCESS,2025-12-02T20:32:50.583375+00:00
144,Arihant Superstructures Limited,ARIHANTSUP,NSE,EQ,SUCCESS,2025-12-02T20:32:51.547290+00:00
145,Arkade Developers Limited,ARKADE,NSE,EQ,SUCCESS,2025-12-02T20:32:52.338487+00:00
146,Arman Financial Services Limited,ARMANFIN,NSE,EQ,SUCCESS,2025-12-02T20:32:53.227898+00:00
147,Aro Granite Industries Limited,AROGRANITE,NSE,EQ,SUCCESS,2025-12-02T20:32:54.115227+00:00
148,Arrow Greentech Limited,ARROWGREEN,NSE,EQ,SUCCESS,2025-12-02T20:32:55.476371+00:00
149,Arshiya Limited,ARSHIYA,NSE,EQ,SUCCESS,2025-12-02T20:32:56.948257+00:00
150,Artemis Medicare Services Limited,ARTEMISMED,NSE,EQ,SUCCESS,2025-12-02T20:32:58.117255+00:00
151,Art Nirman Limited,ARTNIRMAN,NSE,EQ,SUCCESS,2025-12-02T20:33:48.650662+00:00
152,Arvee Laboratories (India) Limited,ARVEE,NSE,EQ,SUCCESS,2025-12-02T20:33:49.416685+00:00
153,Arvind Limited,ARVIND,NSE,EQ,SUCCESS,2025-12-02T20:33:50.154719+00:00
154,Arvind Fashions Limited,ARVINDFASN,NSE,EQ,SUCCESS,2025-12-02T20:33:50.850504+00:00
155,Arvind SmartSpaces Limited,ARVSMART,NSE,EQ,SUCCESS,2025-12-02T20:33:51.557605+00:00
156,Asahi India Glass Limited,ASAHIINDIA,NSE,EQ,SUCCESS,2025-12-02T20:33:52.433624+00:00
157,Asahi Songwon Colors Limited,ASAHISONG,NSE,EQ,SUCCESS,2025-12-02T20:33:53.354752+00:00
158,Automotive Stampings and Assemblies Limited,ASAL,NSE,EQ,SUCCESS,2025-12-02T20:33:54.259270+00:00
159,Associated Alcohols & Breweries Ltd.,ASALCBR,NSE,EQ,SUCCESS,2025-12-02T20:33:55.028065+00:00
160,Ashapura Minechem Limited,ASHAPURMIN,NSE,EQ,SUCCESS,2025-12-02T20:33:55.694242+00:00
161,Ashiana Housing Limited,ASHIANA,NSE,EQ,SUCCESS,2025-12-02T20:34:48.660216+00:00
162,Ashima Limited,ASHIMASYN,NSE,EQ,SUCCESS,2025-12-02T20:34:49.429669+00:00
163,Ashoka Buildcon Limited,ASHOKA,NSE,EQ,SUCCESS,2025-12-02T20:34:50.224808+00:00
164,Ashoka Metcast Limited,ASHOKAMET,NSE,EQ,SUCCESS,2025-12-02T20:34:50.998643+00:00
165,Ashok Leyland Limited,ASHOKLEY,NSE,EQ,SUCCESS,2025-12-02T20:34:51.779178+00:00
166,Asian Energy Services Limited,ASIANENE,NSE,EQ,SUCCESS,2025-12-02T20:34:52.523895+00:00
167,Asian Hotels (North) Limited,ASIANHOTNR,NSE,EQ,SUCCESS,2025-12-02T20:34:53.386358+00:00
168,Asian Paints Limited,ASIANPAINT,NSE,EQ,SUCCESS,2025-12-02T20:34:54.302227+00:00
169,Asian Granito India Limited,ASIANTILES,NSE,EQ,SUCCESS,2025-12-02T20:34:55.038791+00:00
170,ASK Automotive Limited,ASKAUTOLTD,NSE,EQ,SUCCESS,2025-12-02T20:34:55.814711+00:00
171,Bartronics India Limited,ASMS,NSE,EQ,SUCCESS,2025-12-02T20:35:48.488305+00:00
